,x,y
0,7,3
1,10,5
2,10,5
3,83,80
4,15,11
5,32,29
6,11,6
7,62,59
8,57,54
9,72,69
10,79,76
11,100,97
12,80,77
13,13,9
14,82,79
15,49,46
16,71,68
17,51,48
18,51,48
19,65,62
20,79,76
21,46,43
22,63,60
23,32,29
24,82,79
25,79,76
26,17,13
27,33,30
28,80,77
29,19,15
30,37,34
31,49,46
32,37,34
33,50,47
34,39,36
35,93,90
36,34,31
37,68,65
38,38,35
39,49,46
40,11,6
41,1,4
42,68,65
43,18,14
44,38,35
45,34,31
46,61,58
47,63,60
48,49,46
49,62,59
50,88,85
51,37,34
52,47,44
53,11,6
54,21,17
55,69,66
56,17,13
57,21,17
58,74,71
59,48,45
60,50,47
61,5,4
62,45,42
63,45,42
64,27,23
65,14,10
66,43,40
67,15,11
68,95,92
69,42,39
70,39,36
71,65,62
72,35,32
73,6,4
74,100,97
75,5,4
76,38,35
77,2,4
78,54,51
79,39,36
80,61,58
81,17,13
82,45,42
83,87,84
84,45,42
85,69,66
86,76,73
87,20,16
88,68,65
89,19,15
90,82,79
91,51,48
92,66,63
93,59,56
94,52,49
95,77,74
96,49,46
97,12,7
98,60,57
99,68,65
